epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.0964,0.66386,0.47816,0.8167,0.76319,0.7125,0.72016,0.51337,0.70348,0.42186,0.83929,0.000554435,0.000554435,0.000554435
2,186.038,0.61881,0.34013,0.80957,0.85001,0.72623,0.77391,0.52991,0.73079,0.41149,0.84157,0.00109911,0.00109911,0.00109911
3,278.702,0.61641,0.33576,0.80929,0.79871,0.68743,0.74331,0.51959,0.75987,0.42805,0.84624,0.00163279,0.00163279,0.00163279
4,369.992,0.58424,0.3158,0.8048,0.76422,0.69572,0.73013,0.52515,0.7196,0.41196,0.84002,0.00161749,0.00161749,0.00161749
5,461.146,0.56806,0.30576,0.80377,0.76166,0.72956,0.7451,0.52028,0.76134,0.39732,0.83993,0.00160099,0.00160099,0.00160099
6,552.292,0.55519,0.29169,0.79995,0.8323,0.72616,0.76555,0.54628,0.68915,0.37354,0.83338,0.00158448,0.00158448,0.00158448
7,644.847,0.55778,0.2898,0.802,0.77019,0.74377,0.77823,0.56151,0.71067,0.379,0.83691,0.00156798,0.00156798,0.00156798
8,737.209,0.54445,0.28324,0.79844,0.84594,0.72953,0.79504,0.56189,0.74018,0.40022,0.84088,0.00155148,0.00155148,0.00155148
9,829.723,0.53358,0.27828,0.79706,0.8632,0.76009,0.81863,0.58508,0.69598,0.36613,0.83614,0.00153497,0.00153497,0.00153497
10,922.261,0.52386,0.2712,0.79542,0.84892,0.76982,0.82378,0.59479,0.68161,0.35842,0.83345,0.00151847,0.00151847,0.00151847
11,1014.82,0.52093,0.2663,0.79593,0.81438,0.77307,0.82658,0.55371,0.8231,0.42212,0.85161,0.00150197,0.00150197,0.00150197
12,1105.96,0.51387,0.26387,0.79523,0.80768,0.73079,0.77096,0.5558,0.66798,0.34278,0.83053,0.00148546,0.00148546,0.00148546
13,1197.14,0.50626,0.26067,0.79464,0.8453,0.72755,0.79224,0.56239,0.69944,0.38323,0.84014,0.00146896,0.00146896,0.00146896
14,1288.08,0.5177,0.26709,0.79468,0.82857,0.75196,0.81598,0.57395,0.68714,0.37097,0.83741,0.00145246,0.00145246,0.00145246
15,1379.07,0.50065,0.25658,0.79291,0.88189,0.76071,0.82542,0.58943,0.68049,0.35472,0.83024,0.00143595,0.00143595,0.00143595
16,1469.95,0.4961,0.25313,0.79307,0.84425,0.73043,0.79195,0.56381,0.68868,0.35191,0.83326,0.00141945,0.00141945,0.00141945
17,1560.81,0.49578,0.25137,0.79281,0.8014,0.71139,0.77029,0.55026,0.68034,0.35923,0.83481,0.00140295,0.00140295,0.00140295
18,1651.94,0.49413,0.25047,0.79153,0.82685,0.7318,0.77529,0.54789,0.72678,0.38129,0.83921,0.00138644,0.00138644,0.00138644
19,1742.94,0.49368,0.25023,0.79206,0.8216,0.75279,0.79994,0.56138,0.71569,0.36976,0.83619,0.00136994,0.00136994,0.00136994
20,1834.04,0.48632,0.24606,0.79125,0.8702,0.74245,0.81531,0.56711,0.7515,0.37062,0.84226,0.00135344,0.00135344,0.00135344
21,1925.08,0.48538,0.24554,0.79082,0.84075,0.76686,0.8231,0.58583,0.69953,0.36241,0.83482,0.00133693,0.00133693,0.00133693
22,2016.15,0.48503,0.24492,0.78996,0.83534,0.73174,0.79405,0.55685,0.69674,0.35693,0.83631,0.00132043,0.00132043,0.00132043
23,2107.25,0.48434,0.24576,0.78982,0.84549,0.75728,0.81436,0.58151,0.6846,0.359,0.83242,0.00130393,0.00130393,0.00130393
24,2198.33,0.47207,0.23792,0.78874,0.87439,0.73223,0.80791,0.59838,0.65494,0.33477,0.82949,0.00128742,0.00128742,0.00128742
25,2290.79,0.47096,0.23848,0.78942,0.88411,0.75271,0.81902,0.57959,0.68483,0.34388,0.83239,0.00127092,0.00127092,0.00127092
26,2381.93,0.47157,0.23841,0.78887,0.74939,0.73477,0.77569,0.54947,0.68345,0.36039,0.83546,0.00125442,0.00125442,0.00125442
27,2473.11,0.47188,0.23625,0.78813,0.91881,0.75463,0.8341,0.59174,0.68058,0.34083,0.83214,0.00123791,0.00123791,0.00123791
28,2564.34,0.47153,0.23256,0.78853,0.84084,0.75838,0.81936,0.57958,0.69403,0.33957,0.82981,0.00122141,0.00122141,0.00122141
29,2655.46,0.46704,0.23371,0.78869,0.86124,0.74959,0.82466,0.58555,0.68817,0.33895,0.83439,0.00120491,0.00120491,0.00120491
30,2746.61,0.46303,0.23238,0.78728,0.79337,0.72852,0.78287,0.55774,0.7108,0.34224,0.83465,0.0011884,0.0011884,0.0011884
31,2837.74,0.45947,0.23133,0.78755,0.84626,0.74976,0.81686,0.59219,0.65879,0.3363,0.82848,0.0011719,0.0011719,0.0011719
32,2928.93,0.46243,0.23139,0.78767,0.78402,0.75876,0.81285,0.56883,0.7124,0.34886,0.83714,0.0011554,0.0011554,0.0011554
33,3020.03,0.4613,0.22975,0.78755,0.92309,0.72928,0.81939,0.59501,0.68237,0.33272,0.82974,0.00113889,0.00113889,0.00113889
34,3111.28,0.45422,0.22596,0.78579,0.91794,0.73162,0.81063,0.57495,0.73337,0.364,0.83576,0.00112239,0.00112239,0.00112239
